 1   |  LMC            |  79.64101 | -68.81836 | 1.00      |  0.0       |  300.00    |  -1.93     | 0.01      | 300.00    | -1.99      | 0.01       | 300.00    | -4.78     | 0.05      | 300.00     | -7.15     | 0.05          |  0.06     | 0.02    | 2.79    |  0.06
 2   |  SMC            |  13.18660 | -72.82860 | 1.00      |  0.0       |  166.67    |  0.56      | 0.01      | 166.67    | 0.62       | 0.01       | 166.67    | -0.93     | 0.01      | 166.67     | -3.48     | 0.01          | -0.06     | 0.02    | 1.55    |  0.02
 3   |  MESSIER31      |  10.68479 |  41.26907 | 0.35      |  37.3      |  111.44    |  0.08      | 0.01      | 111.44    | 0.13       | 0.01       | 111.44    | -1.95     | 0.01      | 111.44     | -3.09     | 0.01          | -0.05     | 0.02    | 2.08    |  0.02
 4   |  MESSIER33      |  23.46204 |  30.66022 | 0.59      |  18.9      |  31.64     |  3.09      | 0.01      | 31.64     | 3.02       | 0.01       | 31.64     | -0.17     | 0.01      | 31.64      | -1.94     | 0.01          |  0.07     | 0.02    | 3.19    |  0.02
 5   |  NGC0253        |  11.88844 | -25.28827 | 0.28      |  53.0      |  21.13     |  3.46      | 0.01      | 21.13     | 3.27       | 0.01       | 21.13     | -0.54     | 0.04      | 21.13      | -2.94     | 0.04          |  0.19     | 0.02    | 3.81    |  0.05
 6   |  NGC5128        | 201.36481 | -43.01954 | 0.77      |  33.8      |  19.64     |  3.01      | 0.01      | 19.64     | 2.98       | 0.01       | 19.64     | 0.45      | 0.01      | 19.64      | -1.25     | 0.01          |  0.03     | 0.02    | 2.53    |  0.02
 7   |  NGC0055        |   3.72192 | -39.19775 | 0.19      |  108.9     |  19.49     |  5.45      | 0.01      | 19.49     | 5.36       | 0.01       | 19.49     | 2.80      | 0.01      | 19.49      | 0.29      | 0.01          |  0.09     | 0.02    | 2.56    |  0.02
 8   |  MESSIER81      | 148.88837 |  69.06528 | 0.56      |  156.7     |  14.67     |  3.60      | 0.01      | 14.67     | 3.61       | 0.01       | 14.67     | 1.84      | 0.03      | 14.67      | 0.45      | 0.03          | -0.01     | 0.02    | 1.77    |  0.04
 9   |  MESSIER101     | 210.80225 |  54.34893 | 0.92      |  33.3      |  14.50     |  5.22      | 0.01      | 14.50     | 5.10       | 0.01       | 14.50     | 1.62      | 0.01      | 14.50      | -0.28     | 0.01          |  0.12     | 0.02    | 3.48    |  0.02
 10  |  NGC4945        | 196.36409 | -49.46816 | 0.37      |  43.4      |  12.98     |  4.07      | 0.01      | 12.98     | 3.87       | 0.01       | 12.98     | 0.31      | 0.01      | 12.98      | -1.56     | 0.01          |  0.20     | 0.02    | 3.56    |  0.02
